Bandit,Reward,Algorithm
0,1.5437431604812986,Epsilon-Greedy
0,0.38457023040166405,Epsilon-Greedy
0,0.905378998102028,Epsilon-Greedy
0,0.07117189996606699,Epsilon-Greedy
2,2.530525614065048,Epsilon-Greedy
2,3.5425600435859645,Epsilon-Greedy
2,3.241962271566034,Epsilon-Greedy
2,1.086719755342202,Epsilon-Greedy
2,1.9871688796655762,Epsilon-Greedy
2,3.314247332595274,Epsilon-Greedy
2,4.465648768921554,Epsilon-Greedy
2,2.774223699513464,Epsilon-Greedy
2,2.4556172754748173,Epsilon-Greedy
2,3.1109225897098662,Epsilon-Greedy
2,2.3993613100811952,Epsilon-Greedy
2,2.708306250206723,Epsilon-Greedy
2,2.986502775262066,Epsilon-Greedy
1,0.9422890710441001,Epsilon-Greedy
2,3.566112826781041,Epsilon-Greedy
2,2.2955465496234098,Epsilon-Greedy
2,2.5385342818258168,Epsilon-Greedy
2,3.0666572785086244,Epsilon-Greedy
2,3.698398941331722,Epsilon-Greedy
2,2.8283711647735816,Epsilon-Greedy
2,3.7855321244982454,Epsilon-Greedy
2,5.656010091272043,Epsilon-Greedy
2,3.26348604023021,Epsilon-Greedy
2,4.641771116014076,Epsilon-Greedy
2,1.4900427177833913,Epsilon-Greedy
2,3.7215024623586457,Epsilon-Greedy
2,2.956463197526502,Epsilon-Greedy
2,2.7246990897536074,Epsilon-Greedy
2,3.930584400771102,Epsilon-Greedy
2,3.6777674096733417,Epsilon-Greedy
2,3.6622845136190625,Epsilon-Greedy
2,3.2411221625871294,Epsilon-Greedy
2,2.7542523125729597,Epsilon-Greedy
2,2.230332226333892,Epsilon-Greedy
2,1.4258447130559453,Epsilon-Greedy
2,3.6379529432248896,Epsilon-Greedy
2,2.06623715908795,Epsilon-Greedy
2,3.784208187653938,Epsilon-Greedy
2,2.385124240582689,Epsilon-Greedy
2,3.3328924404889295,Epsilon-Greedy
2,2.940182736338331,Epsilon-Greedy
2,3.961173766418355,Epsilon-Greedy
2,3.297650448508347,Epsilon-Greedy
2,1.9718842294124619,Epsilon-Greedy
2,3.1357538294764864,Epsilon-Greedy
2,3.6080896620009613,Epsilon-Greedy
2,1.533032114820474,Epsilon-Greedy
2,3.892629471506162,Epsilon-Greedy
2,2.5852353655945337,Epsilon-Greedy
2,1.6012591183941423,Epsilon-Greedy
2,2.672374816721997,Epsilon-Greedy
2,2.138401945751671,Epsilon-Greedy
2,1.6506100267669912,Epsilon-Greedy
2,1.98092721463193,Epsilon-Greedy
2,4.945115614486786,Epsilon-Greedy
2,2.8466635424838596,Epsilon-Greedy
2,2.516877321248707,Epsilon-Greedy
2,2.4301716516015963,Epsilon-Greedy
2,2.984516659988221,Epsilon-Greedy
2,2.972623554414841,Epsilon-Greedy
2,2.241672879481758,Epsilon-Greedy
2,3.4574156487191425,Epsilon-Greedy
2,2.935621949199033,Epsilon-Greedy
2,3.3449023350447287,Epsilon-Greedy
2,4.43351548728992,Epsilon-Greedy
2,4.065793708549304,Epsilon-Greedy
2,5.158728523363104,Epsilon-Greedy
2,4.23177837671611,Epsilon-Greedy
2,3.7278331141658674,Epsilon-Greedy
2,2.38093063964504,Epsilon-Greedy
2,4.21805043775651,Epsilon-Greedy
2,2.610541975696518,Epsilon-Greedy
2,4.933839800928118,Epsilon-Greedy
2,3.080970805944567,Epsilon-Greedy
2,3.7181282798247106,Epsilon-Greedy
2,2.04852824935196,Epsilon-Greedy
2,3.4280128409894273,Epsilon-Greedy
2,0.5303011349324027,Epsilon-Greedy
2,2.162418608236886,Epsilon-Greedy
2,3.6771860655820996,Epsilon-Greedy
2,2.3743837047670686,Epsilon-Greedy
2,2.477538520467417,Epsilon-Greedy
2,3.062824599733182,Epsilon-Greedy
2,3.5015963653461726,Epsilon-Greedy
2,3.9648105823284348,Epsilon-Greedy
2,1.935168847136994,Epsilon-Greedy
2,3.9206667157130712,Epsilon-Greedy
2,2.773277544450638,Epsilon-Greedy
2,3.6530483110497607,Epsilon-Greedy
2,4.1026874654627115,Epsilon-Greedy
2,2.0146182028743125,Epsilon-Greedy
2,1.9060595909315259,Epsilon-Greedy
2,2.99514305534897,Epsilon-Greedy
2,2.616676693734097,Epsilon-Greedy
2,3.867229498976444,Epsilon-Greedy
2,3.9584138362132983,Epsilon-Greedy
2,5.273345158017482,Epsilon-Greedy
2,3.1469746504572162,Epsilon-Greedy
2,2.9885565525302713,Epsilon-Greedy
2,3.4133540876236452,Epsilon-Greedy
2,4.3003451479965396,Epsilon-Greedy
2,1.656476235932567,Epsilon-Greedy
2,2.9953040053264406,Epsilon-Greedy
2,1.4291880164723847,Epsilon-Greedy
2,1.2167489378344762,Epsilon-Greedy
2,2.7568655395929844,Epsilon-Greedy
2,2.8723952057186253,Epsilon-Greedy
2,3.3415908059487163,Epsilon-Greedy
2,2.0504809548211416,Epsilon-Greedy
2,2.4031026684372474,Epsilon-Greedy
2,1.6585965020538356,Epsilon-Greedy
2,1.3783053790565167,Epsilon-Greedy
2,1.852280027175,Epsilon-Greedy
2,4.389602828146591,Epsilon-Greedy
2,3.8828376605093897,Epsilon-Greedy
2,2.550695613904218,Epsilon-Greedy
2,1.1981120309934397,Epsilon-Greedy
2,3.4677170774981168,Epsilon-Greedy
2,2.2670488649562768,Epsilon-Greedy
3,4.195346472546973,Epsilon-Greedy
3,5.330881327972086,Epsilon-Greedy
3,4.9882026105041115,Epsilon-Greedy
3,2.847434628339985,Epsilon-Greedy
3,2.4992316067928257,Epsilon-Greedy
3,3.960363857960381,Epsilon-Greedy
3,3.465337258149936,Epsilon-Greedy
3,3.5854681946101086,Epsilon-Greedy
3,4.080198712540815,Epsilon-Greedy
3,3.106879726370777,Epsilon-Greedy
3,3.6651827526052663,Epsilon-Greedy
3,4.549576345062667,Epsilon-Greedy
3,2.72912819312396,Epsilon-Greedy
3,6.389035957392462,Epsilon-Greedy
3,5.8434137583205334,Epsilon-Greedy
3,4.015143278259864,Epsilon-Greedy
3,4.442074016866732,Epsilon-Greedy
3,3.5555012557808174,Epsilon-Greedy
3,2.330867640909468,Epsilon-Greedy
3,3.228180922243245,Epsilon-Greedy
3,5.661301730608154,Epsilon-Greedy
3,4.317767032437119,Epsilon-Greedy
3,2.3877726928254766,Epsilon-Greedy
3,4.3772962654604095,Epsilon-Greedy
3,5.65135098647949,Epsilon-Greedy
3,3.2692585967703467,Epsilon-Greedy
3,2.72008026673687,Epsilon-Greedy
3,3.762608038793331,Epsilon-Greedy
3,5.872005680472304,Epsilon-Greedy
3,2.7050575255201403,Epsilon-Greedy
3,3.8948814952535864,Epsilon-Greedy
3,5.543067651859084,Epsilon-Greedy
3,5.323263807151236,Epsilon-Greedy
3,4.058508902306844,Epsilon-Greedy
3,6.347996928450323,Epsilon-Greedy
3,3.797542474168449,Epsilon-Greedy
3,4.060896607117161,Epsilon-Greedy
3,2.102623017511342,Epsilon-Greedy
3,5.280540761677464,Epsilon-Greedy
3,4.686848512765971,Epsilon-Greedy
3,4.070972415639746,Epsilon-Greedy
3,3.5135672339476396,Epsilon-Greedy
3,4.20759826128572,Epsilon-Greedy
3,3.377762835093721,Epsilon-Greedy
3,3.64451135908364,Epsilon-Greedy
3,4.362013911942471,Epsilon-Greedy
3,4.581314134035724,Epsilon-Greedy
3,4.551737010465074,Epsilon-Greedy
3,3.289872042072516,Epsilon-Greedy
3,2.212328388068218,Epsilon-Greedy
3,2.7794298957181454,Epsilon-Greedy
3,5.552859775839326,Epsilon-Greedy
3,3.5604821245257225,Epsilon-Greedy
3,4.012146509073225,Epsilon-Greedy
3,4.930934083974079,Epsilon-Greedy
3,3.7607752021302447,Epsilon-Greedy
3,4.853974711067856,Epsilon-Greedy
3,3.7289595377114573,Epsilon-Greedy
3,3.386905317091622,Epsilon-Greedy
3,5.912317639839971,Epsilon-Greedy
3,5.065227082546918,Epsilon-Greedy
3,5.204922921778574,Epsilon-Greedy
3,2.803339530786478,Epsilon-Greedy
3,3.3008534219080827,Epsilon-Greedy
3,3.9911829537541923,Epsilon-Greedy
3,3.6909074908030783,Epsilon-Greedy
3,4.803813051376258,Epsilon-Greedy
3,4.613841341475425,Epsilon-Greedy
3,5.357880788099989,Epsilon-Greedy
3,3.56669659309744,Epsilon-Greedy
3,4.203822727527467,Epsilon-Greedy
3,5.154354338408924,Epsilon-Greedy
3,3.522618269424679,Epsilon-Greedy
3,3.335772556695577,Epsilon-Greedy
3,5.360111366248171,Epsilon-Greedy
3,1.962924065027861,Epsilon-Greedy
3,5.570032280542672,Epsilon-Greedy
3,3.697675757923692,Epsilon-Greedy
3,3.9954371710097036,Epsilon-Greedy
3,5.2711382259809145,Epsilon-Greedy
3,4.770863101464039,Epsilon-Greedy
3,2.5543900275279174,Epsilon-Greedy
3,3.15586308648226,Epsilon-Greedy
3,4.069652664518879,Epsilon-Greedy
3,4.983504306358465,Epsilon-Greedy
3,4.473627387727564,Epsilon-Greedy
3,4.054350577938571,Epsilon-Greedy
3,3.568057798391628,Epsilon-Greedy
3,5.85996700648693,Epsilon-Greedy
3,3.88906806437049,Epsilon-Greedy
3,4.976309126481103,Epsilon-Greedy
3,3.8422760417458965,Epsilon-Greedy
3,2.6449420444820677,Epsilon-Greedy
3,2.087293482935781,Epsilon-Greedy
3,4.362476458805302,Epsilon-Greedy
3,4.741963016529465,Epsilon-Greedy
3,5.476658625429629,Epsilon-Greedy
3,3.9263888842080936,Epsilon-Greedy
3,3.7177788110127885,Epsilon-Greedy
3,4.295477524423183,Epsilon-Greedy
3,2.9026541314333416,Epsilon-Greedy
3,4.2756351578874074,Epsilon-Greedy
3,4.278723034970661,Epsilon-Greedy
3,3.8913713359111446,Epsilon-Greedy
3,3.9445150417023265,Epsilon-Greedy
3,5.516233322933896,Epsilon-Greedy
3,4.312458481097948,Epsilon-Greedy
3,3.6869762917835596,Epsilon-Greedy
3,2.4008765274625175,Epsilon-Greedy
3,2.631409884458143,Epsilon-Greedy
3,4.535491809975205,Epsilon-Greedy
3,3.172106921084287,Epsilon-Greedy
3,3.6961355645690728,Epsilon-Greedy
3,4.1148614682138955,Epsilon-Greedy
