Bandit,Reward,Algorithm
3,3.320744759788897,Thompson Sampling
2,2.055517194046569,Thompson Sampling
2,3.047638839581185,Thompson Sampling
3,2.456072770627981,Thompson Sampling
3,2.590355502615604,Thompson Sampling
1,1.8196026431028245,Thompson Sampling
1,1.874269068230227,Thompson Sampling
3,1.7985949454598318,Thompson Sampling
2,5.3571111264472,Thompson Sampling
2,3.474499960548677,Thompson Sampling
2,2.300204976681023,Thompson Sampling
0,-0.12429197607541931,Thompson Sampling
2,3.800012537140585,Thompson Sampling
2,4.66718338822381,Thompson Sampling
2,3.1535277868412517,Thompson Sampling
2,2.296718797796261,Thompson Sampling
2,3.428505394984921,Thompson Sampling
2,4.045926102149686,Thompson Sampling
2,0.27653237348209103,Thompson Sampling
2,1.5662466010354184,Thompson Sampling
2,2.382802477650557,Thompson Sampling
2,4.881508655146963,Thompson Sampling
2,3.5086177279671764,Thompson Sampling
2,2.0440436978734513,Thompson Sampling
2,1.9851111985928263,Thompson Sampling
1,0.45383394366674046,Thompson Sampling
2,3.835566128383997,Thompson Sampling
2,5.5094622209891035,Thompson Sampling
2,2.0660561892847658,Thompson Sampling
2,3.125713430991675,Thompson Sampling
2,3.076199669100832,Thompson Sampling
2,3.5971635071995074,Thompson Sampling
0,0.6439769496343968,Thompson Sampling
2,3.577663792948827,Thompson Sampling
2,0.9487418823736498,Thompson Sampling
2,2.2691098744136387,Thompson Sampling
3,4.273024387235706,Thompson Sampling
2,2.784459221187659,Thompson Sampling
3,3.8733429890410718,Thompson Sampling
3,3.5227279263046594,Thompson Sampling
3,6.637719291979561,Thompson Sampling
3,3.190685983198197,Thompson Sampling
3,4.811198897802063,Thompson Sampling
3,5.336984579426239,Thompson Sampling
3,2.0601976779721074,Thompson Sampling
3,4.193356963017791,Thompson Sampling
3,3.3489497258764263,Thompson Sampling
3,3.3015642178363436,Thompson Sampling
3,4.099492550869327,Thompson Sampling
3,5.09231450765027,Thompson Sampling
3,5.9946237692566875,Thompson Sampling
3,4.522415926537504,Thompson Sampling
3,5.093190743502138,Thompson Sampling
3,1.8246419265720593,Thompson Sampling
3,2.940671926780135,Thompson Sampling
3,4.214213110032872,Thompson Sampling
3,3.4417784704257373,Thompson Sampling
3,3.6661411831778725,Thompson Sampling
3,3.9431367030490736,Thompson Sampling
3,4.405343146662083,Thompson Sampling
3,1.5011264250793892,Thompson Sampling
3,4.266203675768484,Thompson Sampling
3,3.7147017341891075,Thompson Sampling
3,3.8227350628685115,Thompson Sampling
3,5.0335352795764114,Thompson Sampling
3,4.926408609481379,Thompson Sampling
3,3.1363244283542024,Thompson Sampling
3,4.201347258269995,Thompson Sampling
3,5.187986702697699,Thompson Sampling
3,4.277399083219693,Thompson Sampling
3,3.113811203720424,Thompson Sampling
3,3.492250293333008,Thompson Sampling
3,2.2426644675271032,Thompson Sampling
3,3.7738809161564624,Thompson Sampling
3,4.488538830668666,Thompson Sampling
3,4.663187204081593,Thompson Sampling
3,2.415612101110854,Thompson Sampling
3,4.240440862919821,Thompson Sampling
3,3.45097564032005,Thompson Sampling
3,3.926600652166733,Thompson Sampling
3,3.5708787478428303,Thompson Sampling
3,4.791202357086833,Thompson Sampling
3,3.156107787611438,Thompson Sampling
3,4.443181043575273,Thompson Sampling
3,5.231989650464546,Thompson Sampling
3,5.065100000462495,Thompson Sampling
3,4.859122501624957,Thompson Sampling
3,2.883800208459243,Thompson Sampling
3,3.211206628883111,Thompson Sampling
3,4.663399038491963,Thompson Sampling
3,3.241386053270207,Thompson Sampling
3,4.7392418873295945,Thompson Sampling
3,3.984868169492718,Thompson Sampling
3,4.88088845369556,Thompson Sampling
3,4.682175559251849,Thompson Sampling
3,3.400422074383147,Thompson Sampling
3,3.859755095676728,Thompson Sampling
3,2.197159742061708,Thompson Sampling
3,4.304733905677684,Thompson Sampling
3,3.122556513707418,Thompson Sampling
3,4.149552582062474,Thompson Sampling
3,4.474070041841488,Thompson Sampling
3,3.058885865055889,Thompson Sampling
3,3.065913356115677,Thompson Sampling
3,2.6907666966571893,Thompson Sampling
3,4.281067238123014,Thompson Sampling
3,5.480846186979785,Thompson Sampling
3,3.8111975812699908,Thompson Sampling
3,4.031448244425577,Thompson Sampling
3,3.799435947746011,Thompson Sampling
3,4.714225475681824,Thompson Sampling
3,5.197314886118903,Thompson Sampling
3,3.5540160549780815,Thompson Sampling
3,2.1277744225006265,Thompson Sampling
3,3.340615347530288,Thompson Sampling
3,4.837678739726402,Thompson Sampling
3,5.4620227920860245,Thompson Sampling
3,4.453310419706547,Thompson Sampling
3,3.495468695413474,Thompson Sampling
3,4.208741912684321,Thompson Sampling
3,4.359939095674142,Thompson Sampling
3,3.1294791834524043,Thompson Sampling
3,4.072468436551666,Thompson Sampling
3,1.9609755444418084,Thompson Sampling
3,4.533431173773595,Thompson Sampling
3,4.749256606219051,Thompson Sampling
3,2.568452069875605,Thompson Sampling
3,4.604403906214004,Thompson Sampling
3,3.6245895220681503,Thompson Sampling
3,2.880334612646541,Thompson Sampling
3,5.400781083092343,Thompson Sampling
3,2.958015603455298,Thompson Sampling
3,2.142002168628874,Thompson Sampling
3,4.062719044764204,Thompson Sampling
3,3.330027189647872,Thompson Sampling
3,5.222772657834348,Thompson Sampling
3,1.688666379600329,Thompson Sampling
3,3.310022919171918,Thompson Sampling
3,2.5808852266642113,Thompson Sampling
3,4.556920016994885,Thompson Sampling
3,6.912325046113828,Thompson Sampling
3,4.40179563291417,Thompson Sampling
3,5.384834085722868,Thompson Sampling
3,3.282514241768281,Thompson Sampling
3,2.7107971302667226,Thompson Sampling
3,2.306010686896478,Thompson Sampling
3,1.9393857589710684,Thompson Sampling
3,3.9663022080592842,Thompson Sampling
3,2.0514522558867525,Thompson Sampling
3,3.99085358040732,Thompson Sampling
3,3.9635900971967253,Thompson Sampling
3,3.2980558649696965,Thompson Sampling
3,4.086097992775671,Thompson Sampling
3,5.590541647505631,Thompson Sampling
3,3.3435314064194,Thompson Sampling
3,4.636129889128068,Thompson Sampling
3,3.0079242729688542,Thompson Sampling
3,3.0055246647907,Thompson Sampling
3,3.409021964991153,Thompson Sampling
3,2.9293034504334114,Thompson Sampling
3,3.676221191855199,Thompson Sampling
3,3.676240445538814,Thompson Sampling
3,4.132718623776922,Thompson Sampling
3,3.1963634136958206,Thompson Sampling
3,4.846230325414156,Thompson Sampling
3,4.3842739678414935,Thompson Sampling
3,3.7097990913705674,Thompson Sampling
3,4.526477086389253,Thompson Sampling
3,3.1020417796922573,Thompson Sampling
3,4.793960831252865,Thompson Sampling
3,3.9695945639148205,Thompson Sampling
3,2.644450641024176,Thompson Sampling
3,3.5049997028693425,Thompson Sampling
3,5.355289773624014,Thompson Sampling
3,4.5653565489307475,Thompson Sampling
3,2.9614030708912793,Thompson Sampling
3,6.152313265722055,Thompson Sampling
3,3.8005986495013886,Thompson Sampling
3,3.986012545173944,Thompson Sampling
3,5.278270963712853,Thompson Sampling
3,3.474427948928928,Thompson Sampling
3,4.313277020331255,Thompson Sampling
3,4.69795303904297,Thompson Sampling
3,5.7328474346548255,Thompson Sampling
3,3.476167157974335,Thompson Sampling
3,4.752252369298482,Thompson Sampling
3,5.039483750166755,Thompson Sampling
3,4.4864844151636225,Thompson Sampling
3,3.3404168826593157,Thompson Sampling
3,3.1349453637172924,Thompson Sampling
3,3.1555544218954075,Thompson Sampling
3,3.2256177115294467,Thompson Sampling
3,3.92794539792709,Thompson Sampling
3,5.451697438795968,Thompson Sampling
3,3.9868638230134623,Thompson Sampling
3,3.727335042310535,Thompson Sampling
3,4.112712107483991,Thompson Sampling
3,4.549209274332111,Thompson Sampling
3,3.308756706921687,Thompson Sampling
3,5.694470034443009,Thompson Sampling
3,4.149826361989087,Thompson Sampling
